Date,Open,High,Low,Close
22-Jun-21,35084.9,35281.9,34664.35,34745
21-Jun-21,34109.45,34927.65,33937.5,34871.3
18-Jun-21,34735.15,34787.4,33908.95,34558
17-Jun-21,34619.8,34882.4,34458.1,34605.4
16-Jun-21,35196.25,35380,34916.2,35003.5
15-Jun-21,35038.05,35317.4,34917.9,35247.75
14-Jun-21,34936.55,34995.15,34374.35,34950.6
11-Jun-21,35324.65,35344,34891.3,35047.4
10-Jun-21,34903.6,35165.65,34734.4,35131.2
09-Jun-21,35114.25,35402.45,34641.2,34800.5
08-Jun-21,35433.8,35449.5,34962.65,35085.3
07-Jun-21,35460.8,35545.85,35338.55,35443.65
04-Jun-21,35657.85,35810.9,35176.15,35291.65
03-Jun-21,35536.45,35723.7,35413,35649
02-Jun-21,35271.6,35415.85,35070.3,35373.75
01-Jun-21,35639.75,35713.9,35241.2,35337.2
31-May-21,35097.45,35584.3,34930.1,35526.65
28-May-21,35345.65,35436.65,34977.2,35141.45
27-May-21,34664.2,35220.8,34529.7,35095.05
26-May-21,34757.15,34897.95,34462.5,34684.2
25-May-21,35095,35125.85,34410.4,34662
24-May-21,34869.3,35216.1,34528.3,34943.6
21-May-21,33559.8,34694.45,33559.75,34606.9
20-May-21,33692.55,33833.7,33273.95,33334.55
19-May-21,33717.1,33959.3,33608.25,33685.2
18-May-21,33893.1,34142.85,33730.45,33922.4
17-May-21,32437.85,33506.9,32318.7,33459.25
14-May-21,32495.15,32622.65,32115.5,32169.55
12-May-21,32717.65,32747.7,32352.3,32452.3
11-May-21,32640.95,33154.3,32611.7,32872.2
10-May-21,33175.3,33297.6,33028.15,33142.4
07-May-21,33041.65,33259.15,32771.35,32904.5
06-May-21,32900.75,32956.35,32564,32827.8
05-May-21,32577.1,32862.15,32068.55,32783.7
04-May-21,32610.4,33011.55,32191.4,32270.35
03-May-21,32368.55,32566.6,31906.55,32465.75
30-Apr-21,33112.4,33455.25,32663.4,32781.8
29-Apr-21,33901.6,34287,33304.6,33714.5
28-Apr-21,32865.5,33777.7,32840.3,33722.8
27-Apr-21,32228.95,32807.1,32152.95,32735.35
26-Apr-21,32316.65,32603.7,32144.8,32275.15
23-Apr-21,31490.6,32148.4,31377.15,31722.3
22-Apr-21,30763.5,31834.5,30555.25,31782.6
20-Apr-21,31568.95,31731.65,30891,31112.7
19-Apr-21,30993.45,31304.3,30405.65,31208.4
16-Apr-21,32161.45,32325.15,31911.9,31977.45
15-Apr-21,31929.1,32187.05,31406.4,32112.85
13-Apr-21,30901.8,31885.45,30722.85,31771.6
12-Apr-21,31637.9,31698.05,30520.3,30792
09-Apr-21,32636.9,32972.15,32329.95,32448.05
08-Apr-21,33154.2,33306.8,32704.75,32782.85
07-Apr-21,32529.7,33191.7,32141.55,32991.2
06-Apr-21,32915.65,33007.65,32338.4,32501.35
05-Apr-21,33649.15,33697.75,32330.15,32678.85
01-Apr-21,33588,33949.15,33208.75,33858
31-Mar-21,33764.8,33773.1,33151.8,33303.9
30-Mar-21,33615.9,33990.8,33564.55,33875.1
26-Mar-21,33605.05,33610.65,33166.1,33318.2
25-Mar-21,33420.75,33550.15,32415.25,33006.45
24-Mar-21,33894.7,33970.65,33203.4,33293.25
23-Mar-21,33747.95,34360.05,33622,34184.4
22-Mar-21,34088.4,34148.9,33389.15,33603.45
19-Mar-21,33590.4,34355.4,33361,34161.6
18-Mar-21,34577.5,34759.85,33597.55,33856.8
17-Mar-21,34905.05,35100.5,34126.85,34229.25
16-Mar-21,35352,35405.05,34744.6,34804.6
15-Mar-21,35544.25,35544.25,34430.65,35182.55
12-Mar-21,36497.35,36497.35,35188.05,35496.65
10-Mar-21,36112.25,36176.9,35764.35,35938.3
09-Mar-21,35705.9,36077.8,35544.95,35865.65
08-Mar-21,35462.45,35827.3,35090.75,35275.75
05-Mar-21,35458.5,35616.05,34893.25,35228.15
04-Mar-21,35575.65,36316.4,35519.25,35802.5
03-Mar-21,35754.45,36455.15,35570.55,36368.05
02-Mar-21,35458.15,35747.05,35002.45,35419.7
01-Mar-21,35374.25,35581.1,34983.75,35296
26-Feb-21,35806.65,35902.9,34658.7,34803.6
25-Feb-21,36763.15,37232.2,36494,36549
24-Feb-21,35205.4,36567.65,35060.65,36452.3
23-Feb-21,35540.55,35680.85,34976,35116.95
